year,program_code,program_name,organizer_name,organizer_name_normalized,agenda_captured,papers_total,source_url
2024,EEE,Environmental & Energy Economics,Ashley Langer,ashley langer,1,20,https://conference.nber.org/agenda/simple_printable?conf_id=SI24EEE
2024,EEE,Environmental & Energy Economics,Joseph S. Shapiro,joseph s shapiro,1,20,https://conference.nber.org/agenda/simple_printable?conf_id=SI24EEE
2024,EEE,Environmental & Energy Economics,Catherine Wolfram,catherine wolfram,1,20,https://conference.nber.org/agenda/simple_printable?conf_id=SI24EEE
2024,EFFE,Forecasting and Empirical Methods,Allan Timmermann,allan timmermann,1,16,https://conference.nber.org/agenda/simple_printable?conf_id=SI24EFFE
2024,EFFE,Forecasting and Empirical Methods,Jonathan H. Wright,jonathan h wright,1,16,https://conference.nber.org/agenda/simple_printable?conf_id=SI24EFFE
2024,GE,Gender in the Economy,Jessica Goldberg,jessica goldberg,1,17,https://conference.nber.org/agenda/simple_printable?conf_id=SI24GE
2024,GE,Gender in the Economy,Claudia Goldin,claudia goldin,1,17,https://conference.nber.org/agenda/simple_printable?conf_id=SI24GE
2024,GE,Gender in the Economy,Pamela Jakiela,pamela jakiela,1,17,https://conference.nber.org/agenda/simple_printable?conf_id=SI24GE
2024,GE,Gender in the Economy,Claudia Olivetti,claudia olivetti,1,17,https://conference.nber.org/agenda/simple_printable?conf_id=SI24GE
2024,GE,Gender in the Economy,Barbara Petrongolo,barbara petrongolo,1,17,https://conference.nber.org/agenda/simple_printable?conf_id=SI24GE
2024,HF,Household Finance,Paul Goldsmith-Pinkham,paul goldsmith-pinkham,1,16,https://conference.nber.org/agenda/simple_printable?conf_id=SI24HF
2024,HF,Household Finance,Adair Morse,adair morse,1,16,https://conference.nber.org/agenda/simple_printable?conf_id=SI24HF
2024,HF,Household Finance,Stephen P. Zeldes,stephen p zeldes,1,16,https://conference.nber.org/agenda/simple_printable?conf_id=SI24HF
2024,IFMDS,IFM Data Session,Jesse Schreger,jesse schreger,1,6,https://conference.nber.org/agenda/simple_printable?conf_id=SI24IFMDS
2024,IFMDS,IFM Data Session,Chenzi Xu,chenzi xu,1,6,https://conference.nber.org/agenda/simple_printable?conf_id=SI24IFMDS
2024,IPM,Impulse and Propagation Mechanisms,Lawrence Christiano,lawrence christiano,1,20,https://conference.nber.org/agenda/simple_printable?conf_id=SI24EFCE
2024,IPM,Impulse and Propagation Mechanisms,Martin S. Eichenbaum,martin s eichenbaum,1,20,https://conference.nber.org/agenda/simple_printable?conf_id=SI24EFCE
2024,IO,Industrial Organization,C. Lanier Benkard,c lanier benkard,1,11,https://conference.nber.org/agenda/simple_printable?conf_id=SI24IO
2024,IO,Industrial Organization,Tobias Salz,tobias salz,1,11,https://conference.nber.org/agenda/simple_printable?conf_id=SI24IO
2024,IO,Industrial Organization,Pietro Tebaldi,pietro tebaldi,1,11,https://conference.nber.org/agenda/simple_printable?conf_id=SI24IO
2024,IO,Industrial Organization,Daniel C. Waldinger,daniel c waldinger,1,11,https://conference.nber.org/agenda/simple_printable?conf_id=SI24IO
2024,EFDIS,Inequality and the Macroeconomy,Roland Bénabou,roland benabou,1,12,https://conference.nber.org/agenda/simple_printable?conf_id=SI24EFDIS
2024,EFDIS,Inequality and the Macroeconomy,Raquel Fernández,raquel fernandez,1,12,https://conference.nber.org/agenda/simple_printable?conf_id=SI24EFDIS
