year,program_code,conference_id,http_status,agenda_captured,papers_parsed,html_bytes,source_url
2024,GE,SI24GE,200,1,17,20677,https://conference.nber.org/agenda/simple_printable?conf_id=SI24GE
2024,HF,SI24HF,200,1,16,22720,https://conference.nber.org/agenda/simple_printable?conf_id=SI24HF
2024,IFMDS,SI24IFMDS,200,1,6,7178,https://conference.nber.org/agenda/simple_printable?conf_id=SI24IFMDS
2024,IPM,SI24EFCE,200,1,20,24900,https://conference.nber.org/agenda/simple_printable?conf_id=SI24EFCE
2024,IO,SI24IO,200,1,11,17196,https://conference.nber.org/agenda/simple_printable?conf_id=SI24IO
2024,EFDIS,SI24EFDIS,200,1,12,15959,https://conference.nber.org/agenda/simple_printable?conf_id=SI24EFDIS
2024,PRINN,SI24PRINN,200,1,11,17005,https://conference.nber.org/agenda/simple_printable?conf_id=SI24PRINN
2024,IEG,SI24IEG,200,1,7,10731,https://conference.nber.org/agenda/simple_printable?conf_id=SI24IEG
2024,IFM,SI24IFM,200,1,12,20257,https://conference.nber.org/agenda/simple_printable?conf_id=SI24IFM
2024,ITI,SI24ITI,200,1,12,21889,https://conference.nber.org/agenda/simple_printable?conf_id=SI24ITI
2024,ITM,SI24ITM,200,1,4,7357,https://conference.nber.org/agenda/simple_printable?conf_id=SI24ITM
2024,LS,SI24LS,200,1,35,41817,https://conference.nber.org/agenda/simple_printable?conf_id=SI24LS
2024,LE,SI24LE,200,1,9,14854,https://conference.nber.org/agenda/simple_printable?conf_id=SI24LE
2024,MPF,SI24MPF,200,1,8,10060,https://conference.nber.org/agenda/simple_printable?conf_id=SI24MPF
2024,EFMB,SI24EFMB,200,1,6,9891,https://conference.nber.org/agenda/simple_printable?conf_id=SI24EFMB
2024,MEFM,SI24MEFM,200,1,10,15328,https://conference.nber.org/agenda/simple_printable?conf_id=SI24MEFM
2024,PRMP,SI24PRMP,200,1,7,11045,https://conference.nber.org/agenda/simple_printable?conf_id=SI24PRMP
2024,EFMM,SI24EFMM,200,1,16,22603,https://conference.nber.org/agenda/simple_printable?conf_id=SI24EFMM
2024,ME,SI24ME,200,1,19,23575,https://conference.nber.org/agenda/simple_printable?conf_id=SI24ME
2024,PPL,SI24PPL,200,1,14,17316,https://conference.nber.org/agenda/simple_printable?conf_id=SI24PPL
2024,POL,SI24POL,200,1,12,18369,https://conference.nber.org/agenda/simple_printable?conf_id=SI24POL
2024,PE,SI24PE,200,1,11,14992,https://conference.nber.org/agenda/simple_printable?conf_id=SI24PE
2024,REAL,SI24REAL,200,1,17,23879,https://conference.nber.org/agenda/simple_printable?conf_id=SI24REAL
2024,SIP,SI24SF,200,1,16,25311,https://conference.nber.org/agenda/simple_printable?conf_id=SI24SF
2024,URB,SI24URB,200,1,26,30189,https://conference.nber.org/agenda/simple_printable?conf_id=SI24URB
2025,EFMPL,SI25EFMPL,200,1,18,24226,https://conference.nber.org/agenda/simple_printable?conf_id=SI25EFMPL
2025,AG,SI25AG,200,1,12,18805,https://conference.nber.org/agenda/simple_printable?conf_id=SI25AG
2025,AP,SI25AP,200,1,14,20971,https://conference.nber.org/agenda/simple_printable?conf_id=SI25AP
2025,EFBEM,SI25EFBEM,200,1,6,9662,https://conference.nber.org/agenda/simple_printable?conf_id=SI25EFBEM
2025,HPC,SI25HPC,200,1,9,13664,https://conference.nber.org/agenda/simple_printable?conf_id=SI25HPC
